filename,route_name,grade,date,self,notes
wool_socks.mov,Wool Socks,4b/V0,5/4/2026,Yes,
slow_horses.mov,Slow Horses,4b/V0,5/4/2026,Yes,
undercut_first_measure_later.mov,Undercut First Measure Later,4c/V0,5/4/2026,Yes,
shoulder_rust.mov,Shoulder Rust,5a/V1,5/4/2026,Yes,
write_this_way.mov,Write This Way,5a/V1,5/4/2026,Yes,
rousing.mov,Rousing,5a/V1,5/4/2026,Yes,
pretzel_dog.mov,Pretzel Dog,5b/V1,5/4/2026,Yes,
pizza_box.mov,Pizza Box,5c/V2,5/4/2026,Yes,
perfect_pizza_party.mov,Perfect Pizza Party,5c/V2,5/4/2026,Yes,
the_angry_tree.mov,The Angry Tree,5c/V2,5/4/2026,Yes,
mediocre_italian_food.mov,Mediocre Italian Food,4b/V0,5/4/2026,Yes,
hundreds_of_thousands.mov,Hundreds of thousands,4b/V0,5/4/2026,Yes,
heros_first_ascent.mov,Hero's First Ascent,4c/V0,5/4/2026,Yes,
sammichs_warmup_series_6.mov,Sammich's Warm Up Series: 6,4b/V0,5/4/2026,Yes,
nob1.mov,nob1,5a/V1,5/4/2026,Yes,deadpoint with cutting feet
